transaction_id,user_id,account_age_days,total_orders,avg_order_value,past_fraud_flag,device_type,os,ip_region,billing_address_region,delivery_address_region,billing_delivery_match,restaurant_region,delivery_distance_km,order_value,payment_method,card_type,payment_retries,promo_code_used,refund_requests,order_timestamp,order_hour,order_day_of_week,orders_last_24h,high_value_flag,ip_shared_flag,chargeback_flag,fraudulent
TXN_978033343340,USR_73196,1902,4986,58.24,0,tablet,MacOS,Abuja,Abuja,Ibadan,0,Port Harcourt South,14.71,96.89,credit_card,Amex,3,1,3,2025-01-05 19:40:03,13,Sunday,10,1,1,1,0
TXN_813582749922,USR_11955,567,926,83.28,1,mobile,MacOS,Lagos,Port Harcourt,Kano,0,Kano North,98.68,68.51,debit_card,,0,1,8,2025-07-07 07:49:38,23,Thursday,5,1,1,1,0
TXN_113318065960,USR_20396,1958,4802,99.65,1,desktop,MacOS,Kano,Ibadan,Kano,1,Abuja Central,2.01,491.52,wallet,Amex,1,0,7,2025-01-05 16:23:56,23,Wednesday,10,1,1,1,0
TXN_573290209102,USR_31492,1784,4986,54.05,0,desktop,MacOS,Ibadan,Abuja,Ibadan,0,Lagos Island,17.06,5.48,wallet,Verve,4,1,6,2025-04-14 05:24:11,23,Sunday,4,1,0,1,1
TXN_659386555738,USR_29665,1958,46,99.65,0,mobile,Android,Ibadan,Lagos,Ibadan,0,Lagos Mainland,38.38,200.46,credit_card,,0,0,8,2025-01-21 12:47:49,11,Sunday,6,1,0,1,0
TXN_985365679257,USR_25412,618,46,5.36,1,tablet,MacOS,Ibadan,Kano,Ibadan,0,Kano North,59.88,179.88,paypal,Verve,5,1,4,2025-02-27 18:25:40,10,Wednesday,9,1,1,0,0
TXN_443480858648,USR_93314,13,4986,5.36,0,tablet,MacOS,Port Harcourt,Ibadan,Abuja,0,Lagos Island,98.68,84.41,bank_transfer,Verve,5,0,1,2025-05-29 07:45:06,23,Saturday,8,1,0,0,0
TXN_824315793959,USR_64611,1542,4875,96.45,1,tablet,MacOS,Abuja,Abuja,Ibadan,0,Abuja Central,2.01,328.81,credit_card,Visa,0,1,5,2025-07-03 15:22:01,10,Monday,10,0,0,1,0
TXN_113318065960,USR_59185,1266,4905,22.11,1,tablet,MacOS,Port Harcourt,Port Harcourt,Kano,0,Abuja Central,2.01,393.24,credit_card,Verve,0,0,0,2025-05-09 02:39:13,23,Sunday,7,1,0,1,1
TXN_41516246444,USR_31492,755,46,99.65,1,desktop,MacOS,Kano,Abuja,Port Harcourt,0,Port Harcourt South,2.01,491.52,paypal,,0,0,10,2025-07-15 17:49:25,2,Wednesday,10,1,0,1,0
TXN_915723438544,USR_4123,13,4986,5.36,0,tablet,Linux,Ibadan,Kano,Ibadan,1,Lagos Mainland,85.72,171.51,credit_card,Visa,0,0,10,2025-07-28 07:40:12,23,Monday,10,1,0,1,0
TXN_457495767135,USR_15008,1958,46,99.65,1,tablet,iOS,Port Harcourt,Port Harcourt,Lagos,0,Abuja Central,98.68,491.52,paypal,Amex,0,1,2,2025-08-25 05:57:20,23,Sunday,10,1,1,1,0
